iter	Passed	Remaining
395	1983	520
396	1988	515
397	1993	511
398	1998	505
399	2003	500
400	2008	495
401	2013	490
402	2018	485
403	2024	481
404	2029	475
405	2034	470
406	2039	465
407	2044	460
408	2049	456
409	2054	451
410	2059	445
411	2064	440
412	2069	435
413	2073	430
414	2078	425
415	2083	420
416	2088	415
417	2093	410
418	2098	405
419	2103	400
420	2109	395
421	2114	390
422	2119	385
423	2125	380
424	2129	375
425	2135	370
426	2140	365
427	2146	361
428	2151	356
429	2156	351
430	2161	346
431	2166	340
432	2171	336
433	2176	330
434	2181	325
435	2186	320
436	2191	315
437	2197	311
438	2202	306
439	2207	301
440	2212	296
441	2218	291
442	2223	286
443	2228	281
444	2233	276
445	2238	271
446	2243	265
447	2247	260
448	2252	255
449	2257	250
450	2262	245
451	2268	240
452	2273	235
453	2278	230
454	2283	225
455	2288	220
456	2293	215
457	2298	210
458	2303	205
459	2308	200
460	2313	195
461	2318	190
462	2322	185
463	2327	180
464	2332	175
465	2338	170
466	2343	165
467	2348	160
468	2353	155
469	2358	150
470	2363	145
471	2367	140
472	2372	135
473	2377	130
474	2382	125
475	2388	120
476	2392	115
477	2397	110
478	2402	105
479	2407	100
480	2413	95
481	2418	90
482	2423	85
483	2428	80
484	2433	75
485	2437	70
486	2443	65
487	2447	60
488	2453	55
489	2457	50
490	2463	45
491	2468	40
492	2473	35
493	2478	30
494	2483	25
495	2488	20
496	2493	15
497	2498	10
498	2503	5
499	2508	0
